WP_010874359.1	CDD:223560	45.902	61	30	1	4	61	7	67	3.49e-20	86.9
WP_010874359.1	CDD:225124	19.214	229	157	6	1	203	6	232	3.18e-19	82.2
WP_010874359.1	CDD:227694	24.615	65	41	1	4	60	101	165	1.55e-04	39.9
WP_010874360.1	CDD:223265	57.385	650	258	9	5	650	1	635	0.0	1053
WP_010874360.1	CDD:224307	30.973	113	59	5	22	127	19	119	2.18e-04	41.2
WP_010874360.1	CDD:223715	31.481	54	35	2	37	89	226	278	0.004	37.0
WP_010874363.1	CDD:223203	39.048	210	116	6	2	206	1	203	2.10e-71	213
WP_010874363.1	CDD:224345	22.111	199	130	10	1	186	1	187	6.03e-10	53.9
WP_010874369.1	CDD:226544	30.556	36	23	1	52	85	7	42	0.009	34.0
WP_010874371.1	CDD:223435	23.077	221	155	8	1	209	135	352	1.05e-37	134
WP_010874373.1	CDD:223267	23.875	289	192	8	4	265	1	288	6.79e-62	195
WP_010874373.1	CDD:224102	22.099	181	110	12	119	277	126	297	6.11e-05	40.7
WP_010874373.1	CDD:223516	24.074	108	67	4	62	166	84	179	1.21e-04	39.9
WP_010874378.1	CDD:223560	37.913	393	213	10	5	390	3	371	6.80e-145	413
WP_010874378.1	CDD:225124	35.606	132	73	3	1	125	1	127	2.13e-23	94.9
WP_010874378.1	CDD:227694	34.722	72	47	0	7	78	99	170	4.31e-15	73.8
WP_010874378.1	CDD:227594	36.486	74	41	2	4	74	41	111	3.65e-09	55.0
WP_010874378.1	CDD:224002	39.683	63	34	2	3	62	110	171	6.29e-08	49.3
WP_010874378.1	CDD:224002	38.298	47	29	0	27	73	24	70	6.41e-05	40.4
WP_010874379.1	CDD:223669	20.438	274	189	6	21	290	13	261	6.84e-24	95.9
WP_010874379.1	CDD:225176	24.800	125	79	3	19	133	24	143	5.51e-07	47.4
WP_010874379.1	CDD:223477	23.077	78	55	2	217	291	114	189	7.35e-06	43.1
WP_010874379.1	CDD:224932	25.743	101	50	5	38	123	83	173	4.04e-04	38.5
WP_010874379.1	CDD:224423	24.468	94	60	3	215	301	516	605	0.002	37.1
WP_010874386.1	CDD:223309	37.692	130	79	2	4	132	3	131	1.00e-46	146
WP_010874387.1	CDD:223852	21.831	142	104	3	28	168	7	142	8.39e-32	108
WP_010874389.1	CDD:223765	26.126	111	79	2	1	108	2	112	6.55e-25	89.9
WP_010874390.1	CDD:223113	52.404	208	97	2	1	206	3	210	6.64e-100	285
WP_010874390.1	CDD:224837	28.261	46	33	0	124	169	127	172	3.30e-05	40.4
WP_010874402.1	CDD:223202	38.732	426	243	7	1	411	1	423	1.16e-161	458
WP_010874402.1	CDD:226228	23.125	320	218	11	5	306	4	313	4.35e-24	100
WP_010874402.1	CDD:223518	24.779	113	74	5	3	115	213	314	8.73e-04	38.4
WP_010874403.1	CDD:223251	44.027	586	289	8	10	557	1	585	0.0	815
WP_010874403.1	CDD:223096	25.142	529	285	17	9	527	1	428	2.51e-66	219
WP_010874403.1	CDD:225178	23.841	151	101	4	133	277	14	156	2.90e-12	65.1
WP_010874403.1	CDD:223202	15.854	164	85	6	133	258	16	164	8.26e-07	48.4
WP_010874404.1	CDD:224405	19.016	447	277	17	3	442	2	370	1.51e-84	262
WP_010874410.1	CDD:224836	45.882	85	45	1	1	85	1	84	4.65e-31	101
WP_010874412.1	CDD:226361	39.216	255	150	3	310	560	99	352	6.09e-95	291
WP_010874412.1	CDD:226361	45.926	135	70	3	6	139	5	137	4.90e-56	189
WP_010874412.1	CDD:226359	24.640	556	189	11	7	557	4	334	1.01e-72	232
WP_010874412.1	CDD:224043	25.362	552	180	9	7	549	3	331	1.20e-70	228
WP_010874412.1	CDD:224041	23.810	420	105	7	6	425	3	207	4.54e-55	183
WP_010874412.1	CDD:224050	21.941	474	157	9	6	476	1	264	1.10e-50	174
